id,c_id,date
193,350,2020.12.30
133,1377,2020.12.30
115,290,2020.12.31
240,1026,2020.12.31
202,924,2021.01.01
207,990,2021.01.03
208,990,2021.01.03
133,1270,2021.01.03
198,1270,2021.01.03
202,1270,2021.01.03
278,212,2021.01.04
133,682,2021.01.04
135,682,2021.01.04
310,682,2021.01.04
133,683,2021.01.04
135,683,2021.01.04
310,683,2021.01.04
70,922,2021.01.04
310,1125,2021.01.04
82,1266,2021.01.04
72,220,2021.01.05
284,220,2021.01.05
275,290,2021.01.05
202,290,2021.01.05
299,290,2021.01.05
135,368,2021.01.05
86,368,2021.01.05
310,368,2021.01.05
226,368,2021.01.05
116,368,2021.01.05
231,368,2021.01.05
81,368,2021.01.05
310,455,2021.01.05
181,455,2021.01.05
299,455,2021.01.05
133,141,2021.01.06
280,189,2021.01.06
304,276,2021.01.06
281,276,2021.01.06
76,276,2021.01.06
197,817,2021.01.06
241,988,2021.01.06
198,990,2021.01.06
257,990,2021.01.06
75,801,2021.01.07
139,801,2021.01.07
194,801,2021.01.07
133,867,2021.01.07
310,867,2021.01.07
310,867,2021.01.07
310,903,2021.01.07
310,276,2021.01.08
310,527,2021.01.08
202,615,2021.01.08
310,618,2021.01.08
310,649,2021.01.08
244,649,2021.01.08
310,997,2021.01.08
296,997,2021.01.08
310,210,2021.01.10
197,210,2021.01.10
310,351,2021.01.10
310,933,2021.01.10
222,933,2021.01.10
310,993,2021.01.10
241,1170,2021.01.10
310,1407,2021.01.11
241,1099,2021.01.12
240,1099,2021.01.12
194,1099,2021.01.12
77,1099,2021.01.12
276,1265,2021.01.12
227,245,2021.01.13
87,1125,2021.01.13
89,1125,2021.01.13
257,1266,2021.01.14
190,350,2021.01.15
293,350,2021.01.15
299,747,2021.01.15
141,924,2021.01.15
139,924,2021.01.15
119,924,2021.01.15
310,1383,2021.01.15
81,1383,2021.01.15
294,656,2021.01.16
66,747,2021.01.16
133,1026,2021.01.16
72,1026,2021.01.16
284,1026,2021.01.16
241,1026,2021.01.16
145,1026,2021.01.16
70,1026,2021.01.16
76,521,2021.01.17
240,611,2021.01.17
257,611,2021.01.17
276,960,2021.01.17
193,1422,2021.01.17
135,234,2021.01.18
133,1018,2021.01.18
77,996,2021.01.20
240,287,2021.01.21
133,290,2021.01.21
194,617,2021.01.21
202,990,2021.01.21
194,1117,2021.01.21
257,1332,2021.01.21
202,1332,2021.01.21
133,603,2021.01.22
133,603,2021.01.22
310,603,2021.01.22
194,635,2021.01.22
93,635,2021.01.22
77,635,2021.01.22
131,635,2021.01.22
310,224,2021.01.23
77,524,2021.01.23
70,524,2021.01.23
294,524,2021.01.23
310,996,2021.01.23
194,1346,2021.01.23
286,197,2021.01.24
310,530,2021.01.24
133,924,2021.01.24
307,924,2021.01.24
133,224,2021.01.25
275,224,2021.01.25
275,224,2021.01.25
277,224,2021.01.25
202,494,2021.01.25
310,993,2021.01.25
292,209,2021.01.26
249,209,2021.01.26
190,244,2021.01.26
193,244,2021.01.26
88,442,2021.01.26
310,442,2021.01.26
65,442,2021.01.26
226,442,2021.01.26
294,442,2021.01.26
293,442,2021.01.26
220,442,2021.01.26
308,442,2021.01.26
222,442,2021.01.26
222,442,2021.01.26
77,870,2021.01.26
116,618,2021.01.27
133,633,2021.01.27
117,633,2021.01.27
133,1373,2021.01.28
240,1373,2021.01.28
77,633,2021.01.29
310,819,2021.01.29
278,264,2021.01.30
310,529,2021.01.30
224,913,2021.01.30
72,1306,2021.01.30
257,1306,2021.01.30
275,1096,2021.01.31
299,1096,2021.01.31
308,1096,2021.01.31
202,1400,2021.02.01
253,368,2021.02.02
162,527,2021.02.02
276,634,2021.02.02
133,683,2021.02.02
198,981,2021.02.02
200,981,2021.02.02
202,981,2021.02.02
133,990,2021.02.02
133,1383,2021.02.02
222,1383,2021.02.02
296,1383,2021.02.02
309,955,2021.02.03
315,1162,2021.02.03
141,1162,2021.02.03
141,1162,2021.02.03
141,1162,2021.02.03
141,1162,2021.02.03
284,1162,2021.02.03
190,1421,2021.02.03
196,1421,2021.02.03
193,1421,2021.02.03
257,734,2021.02.04
141,1087,2021.02.04
77,1351,2021.02.04
181,1022,2021.02.05
77,1128,2021.02.05
77,137,2021.02.06
77,137,2021.02.06
77,137,2021.02.06
90,137,2021.02.06
89,137,2021.02.06
70,137,2021.02.06
70,137,2021.02.06
70,137,2021.02.06
276,302,2021.02.06
133,529,2021.02.06
141,1026,2021.02.06
151,1026,2021.02.06
93,1076,2021.02.06
309,300,2021.02.07
198,985,2021.02.07
200,1270,2021.02.07
275,138,2021.02.08
310,138,2021.02.08
202,1022,2021.02.08
182,1022,2021.02.08
89,1025,2021.02.08
276,1025,2021.02.08
118,1025,2021.02.08
118,1025,2021.02.08
82,1025,2021.02.08
257,254,2021.02.09
208,526,2021.02.09
77,526,2021.02.09
162,526,2021.02.09
70,526,2021.02.09
298,1422,2021.02.09
231,203,2021.02.10
66,499,2021.02.10
133,642,2021.02.10
278,642,2021.02.10
244,1125,2021.02.10
310,770,2021.02.11
294,913,2021.02.12
77,1118,2021.02.13
278,529,2021.02.14
202,1352,2021.02.14
276,1425,2021.02.14
202,302,2021.02.15
76,1260,2021.02.15
257,209,2021.02.16
133,938,2021.02.16
133,198,2021.02.17
133,890,2021.02.17
257,903,2021.02.17
244,1125,2021.02.17
81,1125,2021.02.17
141,1162,2021.02.17
141,1162,2021.02.17
141,1162,2021.02.17
141,1162,2021.02.17
198,1162,2021.02.17
115,134,2021.02.18
194,197,2021.02.18
286,197,2021.02.18
77,197,2021.02.18
133,212,2021.02.18
133,212,2021.02.18
162,966,2021.02.18
304,930,2021.02.19
309,1410,2021.02.19
257,1266,2021.02.21
190,603,2021.02.22
294,603,2021.02.22
293,603,2021.02.22
190,913,2021.02.22
294,913,2021.02.22
278,222,2021.02.24
72,995,2021.02.25
198,995,2021.02.25
304,995,2021.02.25
257,522,2021.02.27
194,522,2021.02.27
124,515,2021.02.28
89,515,2021.02.28
133,632,2021.02.28
310,286,2021.03.01
275,502,2021.03.02
283,502,2021.03.02
310,877,2021.03.02
310,1266,2021.03.02
310,519,2021.03.04
310,957,2021.03.05
133,518,2021.03.06
310,602,2021.03.06
255,958,2021.03.06
196,960,2021.03.06
202,993,2021.03.07
276,212,2021.03.11
202,281,2021.03.11
278,290,2021.03.11
202,290,2021.03.11
89,913,2021.03.12
304,665,2021.03.14
304,665,2021.03.14
133,1080,2021.03.14
135,16,2021.03.15
77,155,2021.03.15
70,155,2021.03.15
135,682,2021.03.15
346,682,2021.03.15
133,683,2021.03.15
133,867,2021.03.15
257,867,2021.03.15
194,867,2021.03.15
325,867,2021.03.15
310,958,2021.03.15
293,913,2021.03.16
153,958,2021.03.16
202,248,2021.03.17
280,281,2021.03.17
257,958,2021.03.17
65,368,2021.03.18
326,368,2021.03.18
310,983,2021.03.18
190,1132,2021.03.18
194,281,2021.03.19
231,281,2021.03.19
77,281,2021.03.19
257,195,2021.03.20
227,1383,2021.03.21
208,264,2021.03.22
257,264,2021.03.22
148,279,2021.03.22
249,279,2021.03.22
133,624,2021.03.22
310,624,2021.03.22
95,933,2021.03.23
133,302,2021.03.24
194,280,2021.03.26
193,280,2021.03.26
133,1049,2021.03.27
75,603,2021.03.28
294,603,2021.03.28
196,603,2021.03.28
309,7,2021.03.29
310,455,2021.03.29
346,683,2021.03.29
326,915,2021.03.29
133,658,2021.03.30
135,658,2021.03.30
352,442,2021.03.31
77,605,2021.03.31
141,913,2021.03.31
133,290,2021.04.01
89,515,2021.04.01
326,515,2021.04.01
292,1024,2021.04.01
276,1024,2021.04.01
324,897,2021.04.02
340,1353,2021.04.02
77,522,2021.04.03
70,522,2021.04.03
309,955,2021.04.04
309,955,2021.04.04
309,955,2021.04.04
70,526,2021.04.05
220,526,2021.04.05
64,817,2021.04.05
151,817,2021.04.05
231,817,2021.04.05
202,817,2021.04.05
202,817,2021.04.05
115,817,2021.04.05
115,817,2021.04.05
257,391,2021.04.06
202,391,2021.04.06
231,522,2021.04.06
133,1026,2021.04.06
352,7,2021.04.07
326,173,2021.04.07
352,1355,2021.04.08
257,1154,2021.04.11
352,243,2021.04.13
133,745,2021.04.13
116,980,2021.04.13
194,980,2021.04.13
275,1046,2021.04.13
310,819,2021.04.15
257,819,2021.04.15
202,819,2021.04.15
257,1275,2021.04.20
133,664,2021.04.21
346,664,2021.04.21
340,1165,2021.04.22
354,132,2021.04.23
340,132,2021.04.23
133,1347,2021.04.23
162,1258,2021.04.24
135,350,2021.04.25
115,276,2021.04.26
309,276,2021.04.26
310,1367,2021.04.27
277,526,2021.04.28
133,980,2021.04.28
194,1073,2021.04.28
257,1154,2021.04.28
133,1268,2021.04.28
64,524,2021.04.30
133,952,2021.04.30
141,290,2021.05.01
64,973,2021.05.01
64,973,2021.05.01
90,1270,2021.05.01
208,258,2021.05.02
87,258,2021.05.02
310,493,2021.05.02
257,493,2021.05.02
138,533,2021.05.02
116,533,2021.05.02
257,533,2021.05.02
133,989,2021.05.02
310,989,2021.05.02
277,989,2021.05.02
255,140,2021.05.03
133,913,2021.05.03
77,197,2021.05.04
77,522,2021.05.04
135,682,2021.05.04
70,682,2021.05.04
133,794,2021.05.04
326,936,2021.05.04
257,978,2021.05.04
362,1422,2021.05.04
306,294,2021.05.05
198,294,2021.05.05
153,294,2021.05.05
133,1233,2021.05.05
194,1233,2021.05.05
77,1233,2021.05.05
70,1233,2021.05.05
190,1233,2021.05.05
193,1233,2021.05.05
77,343,2021.05.06
190,343,2021.05.06
110,526,2021.05.06
112,526,2021.05.06
113,526,2021.05.06
324,599,2021.05.06
324,599,2021.05.06
133,664,2021.05.06
326,915,2021.05.08
81,915,2021.05.08
202,981,2021.05.09
340,254,2021.05.10
133,649,2021.05.11
198,649,2021.05.11
310,224,2021.05.12
75,737,2021.05.12
310,281,2021.05.14
190,504,2021.05.14
133,1270,2021.05.14
310,1270,2021.05.14
222,1270,2021.05.14
202,521,2021.05.15
308,281,2021.05.17
133,1333,2021.05.17
308,725,2021.05.18
352,1370,2021.05.18
276,1272,2021.05.19
133,290,2021.05.20
133,509,2021.05.20
257,649,2021.05.20
284,220,2021.05.21
202,1000,2021.05.22
304,286,2021.05.23
303,286,2021.05.23
314,286,2021.05.23
202,521,2021.05.24
133,522,2021.05.24
346,522,2021.05.24
297,526,2021.05.24
293,526,2021.05.24
193,526,2021.05.24
318,603,2021.05.24
257,877,2021.05.24
326,877,2021.05.24
77,1044,2021.05.24
277,354,2021.05.25
133,657,2021.05.25
304,1248,2021.05.26
310,1155,2021.05.27
194,977,2021.05.29
190,1002,2021.05.29
196,1002,2021.05.29
320,224,2021.05.30
133,224,2021.05.30
310,224,2021.05.30
320,245,2021.05.30
198,245,2021.05.30
81,1159,2021.05.30
193,1159,2021.05.30
310,988,2021.05.31
113,730,2021.06.01
310,1048,2021.06.01
277,1160,2021.06.01
81,795,2021.06.02
64,1154,2021.06.02
257,1154,2021.06.02
257,1188,2021.06.03
276,1188,2021.06.03
77,508,2021.06.04
202,1270,2021.06.04
70,1270,2021.06.04
362,245,2021.06.05
292,245,2021.06.05
77,964,2021.06.10
113,343,2021.06.13
346,522,2021.06.15
133,16,2021.06.17
133,867,2021.06.17
77,391,2021.06.18
70,391,2021.06.18
281,533,2021.06.18
133,867,2021.06.18
133,16,2021.06.21
135,265,2021.06.21
76,272,2021.06.21
240,1012,2021.06.21
310,1012,2021.06.21
324,1012,2021.06.21
72,819,2021.06.22
310,819,2021.06.22
151,819,2021.06.22
231,819,2021.06.22
308,238,2021.06.24
241,242,2021.06.25
240,242,2021.06.25
226,712,2021.06.25
151,1054,2021.06.28
257,244,2021.06.29
304,522,2021.06.29
346,933,2021.06.29
240,1250,2021.06.29
320,1353,2021.06.29
64,340,2021.07.01
135,505,2021.07.01
202,505,2021.07.01
202,505,2021.07.01
345,505,2021.07.01
277,526,2021.07.01
126,682,2021.07.01
77,883,2021.07.02
70,883,2021.07.02
133,1018,2021.07.02
320,1317,2021.07.02
194,124,2021.07.03
190,124,2021.07.03
141,238,2021.07.03
202,545,2021.07.03
115,545,2021.07.03
202,834,2021.07.03
77,981,2021.07.04
70,682,2021.07.05
133,1025,2021.07.05
133,391,2021.07.06
151,391,2021.07.06
141,1084,2021.07.06
331,1370,2021.07.06
133,1406,2021.07.06
70,254,2021.07.07
77,214,2021.07.09
133,927,2021.07.09
135,264,2021.07.10
202,264,2021.07.10
334,264,2021.07.10
133,425,2021.07.10
310,425,2021.07.10
346,1383,2021.07.10
309,16,2021.07.14
309,291,2021.07.14
254,1263,2021.07.14
133,792,2021.07.15
249,792,2021.07.15
70,1385,2021.07.15
70,1385,2021.07.15
194,264,2021.07.16
240,290,2021.07.16
320,391,2021.07.16
198,1133,2021.07.16
194,798,2021.07.18
105,245,2021.07.19
133,223,2021.07.20
194,269,2021.07.20
148,368,2021.07.20
64,450,2021.07.20
194,450,2021.07.20
76,450,2021.07.20
70,486,2021.07.20
70,486,2021.07.20
310,489,2021.07.20
77,499,2021.07.20
194,517,2021.07.20
133,682,2021.07.20
310,819,2021.07.20
133,920,2021.07.20
207,920,2021.07.20
198,920,2021.07.20
75,920,2021.07.20
310,920,2021.07.20
257,920,2021.07.20
231,920,2021.07.20
148,920,2021.07.20
148,920,2021.07.20
133,952,2021.07.20
81,964,2021.07.20
310,1008,2021.07.20
225,1056,2021.07.20
202,1056,2021.07.20
81,1056,2021.07.20
331,1421,2021.07.20
196,1421,2021.07.20
70,508,2021.07.21
133,543,2021.07.21
64,662,2021.07.21
352,662,2021.07.21
151,665,2021.07.21
283,817,2021.07.21
