,al_id,u_id,datetime
322,1093,44,2022.07.19
323,1093,44,2022.06.21
324,144,44,2020.12.15
325,1037,44,2021.12.08
326,257,44,2020.09.10
327,194,44,2020.09.10
328,194,44,2020.09.10
329,243,44,2020.08.26
330,162,44,2021.12.08
331,70,44,2021.12.08
332,227,44,2021.03.21
333,227,44,2020.11.05
334,81,44,2021.12.08
335,81,44,2021.01.15
336,253,44,2020.11.09
337,222,44,2021.02.02
338,80,44,2021.12.08
339,296,44,2021.02.02
340,224,44,2020.08.30
341,1093,45,2022.07.21
342,1072,46,2021.12.08
343,140,46,2021.12.08
344,86,46,2021.01.05
345,65,46,2021.03.18
346,226,46,2021.12.08
347,226,46,2021.01.05
348,116,46,2021.01.05
349,350,46,2021.11.15
350,350,46,2021.10.29
351,194,46,2021.12.08
352,231,46,2021.01.05
353,148,46,2021.12.08
354,148,46,2021.12.08
355,148,46,2021.12.08
356,148,46,2021.07.20
357,254,46,2022.06.06
358,254,46,2021.12.08
359,254,46,2021.12.08
360,244,46,2021.12.08
361,345,46,2021.12.08
362,77,46,2021.12.08
363,162,46,2021.12.08
364,325,46,2021.12.08
365,326,46,2021.12.08
366,326,46,2021.03.18
367,70,46,2021.12.08
368,66,46,2021.12.08
369,66,46,2020.11.28
370,227,46,2021.07.26
371,81,46,2022.06.06
372,81,46,2021.12.08
373,81,46,2021.12.08
374,81,46,2021.12.08
375,81,46,2021.12.08
376,81,46,2021.12.08
377,81,46,2021.07.26
378,81,46,2021.07.26
379,81,46,2021.01.05
380,253,46,2021.12.08
381,253,46,2021.12.08
382,253,46,2021.12.08
383,253,46,2021.12.08
384,253,46,2021.12.08
385,253,46,2021.12.08
386,253,46,2021.12.08
387,253,46,2021.12.08
388,253,46,2021.12.08
389,253,46,2021.02.02
390,352,46,2021.08.03
391,220,46,2021.12.08
392,220,46,2021.12.08
393,100,46,2021.12.08
394,100,46,2021.12.08
395,222,46,2021.12.08
396,80,46,2020.09.11
397,82,46,2021.12.08
398,224,46,2022.06.06
399,224,46,2021.12.08
400,224,46,2021.12.08
401,1071,47,2022.01.26
402,1070,48,2022.06.18
403,275,49,2021.10.26
404,275,50,2021.12.01
405,275,51,2021.02.08
406,275,52,2022.01.23
407,292,52,2022.07.13
408,292,52,2022.07.13
409,1051,52,2022.07.13
410,116,52,2022.01.23
411,313,52,2022.01.23
412,95,52,2022.07.13
413,95,52,2022.01.23
414,345,52,2022.07.13
415,115,52,2022.01.26
416,1012,52,2022.07.13
417,1167,52,2022.04.20
418,275,53,2021.08.09
419,275,53,2021.01.25
420,275,53,2021.01.25
421,292,53,2021.08.09
422,297,53,2022.01.05
423,309,53,2021.08.09
424,275,54,2020.12.17
425,282,54,2020.12.20
426,142,54,2020.11.17
427,257,54,2021.07.28
428,194,54,2022.04.08
429,194,54,2021.07.28
430,194,54,2021.03.19
431,194,54,2020.09.07
432,231,54,2021.03.19
433,202,54,2021.03.11
434,202,54,2020.08.25
435,244,54,2020.12.03
436,77,54,2021.12.20
437,77,54,2021.03.19
438,77,54,2020.07.03
