c_id,c_name,id,alname,al_star,date
127,강*성,254,꿀샘16,5,2021.12.14
128,강*솔,1147,보일러 틀어놨어,4,2022.02.15
128,강*솔,257,토박이 한산 소곡주,4,2022.02.15
128,강*솔,194,고흥 유자주 8%,5,2022.02.15
128,강*솔,304,능이주,3.5,2022.02.15
128,강*솔,77,매실원주,5,2022.02.15
128,강*솔,224,혼디주,5,2022.02.15
129,강*아,249,문배술 2병 헤리티지 선물세트,5,2021.08.28
129,강*아,202,겨울소주 25%,5,2021.08.28
130,강*연,153,붉은 원숭이,3,2020.02.04
130,강*연,77,매실원주,3,2020.02.04
131,강*옥,1094,고도리 샤인머스캣 와인 (망고포도),5,2022.07.01
131,강*옥,190,고도리 복숭아 와인,5,2022.07.01
131,강*옥,309,시나브로 에뚜왈 화이트 스파클링 와인,4.5,2021.12.21
131,강*옥,193,고도리 화이트 와인 (스위트),4.5,2022.07.01
132,강*우,354,금산인삼주 약주,5,2021.04.23
132,강*우,340,금산인삼주 수삼 23%,4,2021.04.23
132,강*우,224,혼디주,5,2021.10.04
133,강*원,77,매실원주,5,2022.07.21
133,강*원,70,서울의 밤,5,2022.07.21
134,강*정,115,이도 22%,5,2021.02.18
135,강*종,1064,"동백꽃, 제주",5,2022.02.18
136,강*지,190,고도리 복숭아 와인,4,2022.05.12
137,강*진,64,면천 두견주,2,2021.12.21
137,강*진,141,구름을 벗삼아,4,2020.12.29
137,강*진,133,담은,4,2021.12.21
137,강*진,133,담은,4,2020.12.29
137,강*진,133,담은,4,2020.12.29
137,강*진,133,담은,4,2020.12.29
137,강*진,135,복순도가 손 막걸리,5,2020.09.24
137,강*진,135,복순도가 손 막걸리,5,2020.08.14
137,강*진,207,세종대왕어주 탁주,5,2020.09.15
137,강*진,198,술공방 9.0,3,2022.01.13
137,강*진,198,술공방 9.0,4,2020.09.15
137,강*진,241,오매백주,5,2020.09.15
137,강*진,93,솔송주,5,2020.11.21
137,강*진,148,우렁이쌀 청주,5,2022.03.03
137,강*진,200,구기홍주,4,2020.09.15
137,강*진,202,겨울소주 25%,4.5,2022.01.13
137,강*진,202,겨울소주 25%,5,2020.09.15
137,강*진,95,담솔,5,2020.11.21
137,강*진,77,매실원주,5,2021.02.06
137,강*진,77,매실원주,5,2021.02.06
137,강*진,77,매실원주,5,2021.02.06
137,강*진,1019,문경바람 백자 25%,3,2021.12.21
137,강*진,90,문경바람 백자 40%,5,2021.02.06
137,강*진,1021,문경바람 오크 25%,3,2021.12.21
137,강*진,89,문경바람 오크 40%,5,2021.02.06
137,강*진,162,문배술 40%,5,2020.02.27
137,강*진,70,서울의 밤,4,2022.01.13
137,강*진,70,서울의 밤,5,2021.02.06
137,강*진,70,서울의 밤,5,2021.02.06
137,강*진,70,서울의 밤,4,2021.02.06
137,강*진,70,서울의 밤,5,2020.08.19
137,강*진,115,이도 22%,4,2021.12.21
137,강*진,1012,이도 25%,5,2022.01.30
137,강*진,1012,이도 25%,5,2022.01.13
137,강*진,1012,이도 25%,5,2022.01.13
137,강*진,1012,이도 25%,5,2021.12.21
137,강*진,1013,이도 32%,5,2022.01.30
137,강*진,1013,이도 32%,5,2022.01.13
137,강*진,1014,이도 42%,4,2022.01.13
137,강*진,224,혼디주,5,2020.08.14
138,강*찬,275,문삼이공 잣,4,2021.02.08
138,강*찬,310,담화탁주,5,2021.02.08
139,강*창,77,매실원주,5,2022.05.22
139,강*창,327,미상 25%,5,2021.12.23
139,강*창,1085,밀담 52%,5,2022.05.22
139,강*창,70,서울의 밤,5,2022.05.22
139,강*창,1092,안동소주 일품 40% 골드,5,2022.05.22
139,강*창,224,혼디주,5,2021.12.23
140,강*혁,64,면천 두견주,5,2022.02.17
140,강*혁,1051,궁중술 왕주,5,2022.02.17
140,강*혁,151,삼양춘 약주,5,2021.09.21
140,강*혁,194,고흥 유자주 8%,5,2021.09.07
140,강*혁,313,녹파주,5,2022.02.17
140,강*혁,93,솔송주,5,2022.02.17
140,강*혁,202,겨울소주 25%,4,2021.09.07
140,강*혁,254,꿀샘16,5,2021.10.17
140,강*혁,254,꿀샘16,5,2021.09.12
140,강*혁,358,려 고구마 증류소주 40%,5,2021.12.26
140,강*혁,358,려 고구마 증류소주 40%,5,2021.12.26
140,강*혁,255,부자진,5,2021.05.03
140,강*혁,1074,삼천갑자 동방주,5,2022.02.17
140,강*혁,66,술샘16,5,2021.10.17
140,강*혁,276,왕율주 33%,3.5,2021.09.12
140,강*혁,1094,고도리 샤인머스캣 와인 (망고포도),5,2022.02.17
140,강*혁,1094,고도리 샤인머스캣 와인 (망고포도),5,2022.02.17
141,강*현,133,담은,5,2021.01.06
143,강*희,64,면천 두견주,5,2022.04.16
143,강*희,1147,보일러 틀어놨어,5,2022.03.26
143,강*희,1142,동래아들,5,2021.12.23
143,강*희,362,별산 막걸리,5,2022.03.26
143,강*희,133,담은,5,2022.04.16
143,강*희,135,복순도가 손 막걸리,5,2022.03.26
143,강*희,346,설하담,5,2022.03.26
143,강*희,278,시향가,5,2022.03.26
143,강*희,240,오산 막걸리,5,2020.12.29
143,강*희,1051,궁중술 왕주,5,2022.04.16
143,강*희,194,고흥 유자주 8%,5,2022.03.20
143,강*희,202,겨울소주 25%,5,2022.04.16
143,강*희,1007,겨울소주 45%,5,2022.04.16
143,강*희,1107,막시모,5,2022.04.16
143,강*희,162,문배술 40%,5,2021.12.23
143,강*희,335,안동소주 일품 40%,5,2021.12.23
143,강*희,1014,이도 42%,5,2021.11.24
143,강*희,1137,샤토미소 로제와인 (스위트),5,2022.03.20
143,강*희,1134,그랑꼬또 청수 화이트와인,5,2022.03.20
143,강*희,1094,고도리 샤인머스캣 와인 (망고포도),5,2021.11.24
143,강*희,190,고도리 복숭아 와인,4,2021.11.24
143,강*희,82,추사 애플 와인,5,2022.04.16
144,강아지,200,구기홍주,4,2021.12.02
145,개공룡,254,꿀샘16,5,2021.10.29
146,갱가니,1112,두레앙 22%,5,2022.01.31
147,거북이마을,1230,이상헌 탁주 14%,5,2022.05.27
147,거북이마을,292,편백숲 산소막걸리 딸기 스파클링,5,2022.05.27
147,거북이마을,1219,백련 맑은 술,5,2022.05.27
147,거북이마을,1187,서설,5,2022.05.27
147,거북이마을,1169,청비성,5,2022.05.27
147,거북이마을,130,니모메,5,2022.05.27
147,거북이마을,1216,안동 국화주 32%,5,2022.05.27
147,거북이마을,280,커피냑,5,2022.05.27
147,거북이마을,1224,허니문배,5,2022.05.27
147,거북이마을,1094,고도리 샤인머스캣 와인 (망고포도),5,2022.05.27
147,거북이마을,190,고도리 복숭아 와인,5,2022.05.27
147,거북이마을,220,스윗마마,5,2022.05.27
147,거북이마을,193,고도리 화이트 와인 (스위트),5,2022.05.27
148,거짓신사,75,술취한 원숭이,5,2022.01.11
148,거짓신사,194,고흥 유자주 8%,5,2022.01.09
148,거짓신사,77,매실원주,5,2022.01.09
148,거짓신사,70,서울의 밤,5,2022.01.09
148,거짓신사,276,왕율주 33%,5,2022.01.11
149,건방진뚱보,254,꿀샘16,5,2022.04.22
149,건방진뚱보,280,커피냑,5,2022.04.22
149,건방진뚱보,1094,고도리 샤인머스캣 와인 (망고포도),5,2022.04.19
